names,smiles
MeOx,CC(=O)N(C)CC
EtOx,CCC(=O)N(C)CC
nPrOx,CCCC(=O)N(C)CC
nBuOx,CCCCC(=O)N(C)CC
iBuOx,CC(C)CC(=O)N(C)CC
cPrOx,CCN(C)C(=O)C1CC1
iPrOx,CC(C)C(=O)N(C)CC
cPrMeOx,CCN(C)C(=O)CC1CC1
sBuOx,CCC(C)C(=O)N(C)CC
EtHepOx,CCCCC(CC)CCC(=O)N(C)CC
nNonOx,CCCCCCCCCC(=O)N(C)CC
PhOx,CCN(C)C(=O)c1ccccc1
PentOx,CCCCCC(=O)N(C)CC
nPrOzi,CCCC(=O)N(C)CCC
nBuOzi,CCCCC(=O)N(C)CCC
iBuOzi,CC(C)CC(=O)N(C)CCC
cPrOzi,CCCN(C)C(=O)C1CC1
iPrOzi,CCCN(C)C(=O)C(C)C
cPrMeOzi,CCCN(C)C(=O)CC1CC1
sBuOzi,CCC(C)C(=O)N(C)CCC
EtHepOzi,CCCCC(CC)CCC(=O)N(C)CCC
nNonOzi,CCCCCCCCCC(=O)N(C)CCC
PhOzi,CCCN(C)C(=O)c1ccccc1
BzOx,CCN(C)C(=O)Cc1ccccc1
BzOzi,CCCN(C)C(=O)Cc1ccccc1
PhenOx,CCN(C)C(=O)CCc1ccccc1
PhenOzi,CCCN(C)C(=O)CCc1ccccc1
Pid,CN1CCCCC1
EIP,CCOC(=O)C1CCN(C)CC1
PgMeOx,C#CCCN(C)C(C)=O
Pip,CN1CCNCC1
PipBoc,CN1CCN(C(=O)OC(C)(C)C)CC1
nBuEnOx,C=CCCC(=O)N(C)CC
nBuOxPh,CCN(C)C(=O)CCCCSCc1ccccc1
nBuOxNH2,CCN(C)C(=O)CCCCSCC(=O)O
nBuOxCOOH,CCN(C)C(=O)CCCCSCC(=O)O
PcBOx,CCN(C)C(=O)CCc1nc(N)nc(N(C)C)n1
OH,CO
NH2,CN
rEtEtOx,CCC(=O)N(C)[C@H](C)CC
sEtEtOx,CCC(=O)N(C)[C@@H](C)CC
EtEtOx,CCC(=O)N(C)C(C)CC
rPrMeOx,CCCC(=O)N(C)[C@H](C)C
sPrMeOx,CCCC(=O)N(C)[C@@H](C)C
PrMeOx,CCCC(=O)N(C)C(C)C
Bz,Cc1ccccc1
